Name,Date,Title,Price,Condition,Link
lupinn,5 days ago,MacBook 12 inch 2015,S$200,Well used,https://carousell.sg/p/macbook-12-inch-2015-1267015797/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=208
1n.sunshine,5 days ago,[12% OFF] Apple MacBook Pro MacBook Air iMac Mac mini,"S$1,400",Brand new,https://carousell.sg/p/12-off-apple-macbook-pro-macbook-air-imac-mac-mini-1267014738/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=210
thegayjay,5 days ago,MacBook Pro 2019 13” i5 8GB - Space Grey,S$800,Lightly used,https://carousell.sg/p/macbook-pro-2019-13”-i5-8gb-space-grey-1262269838/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=211
Yukisan,5 days ago,MacBook Air 13 inch,S$500,Lightly used,https://carousell.sg/p/macbook-air-13-inch-1263110734/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=212
fafihome,5 days ago,MacBook Pro M2 16”,"S$3,200",Brand new,https://carousell.sg/p/macbook-pro-m2-16”-1263703897/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=213
hepinez,5 days ago,MacBook Air 13 inch 2014,S$225,Well used,https://carousell.sg/p/macbook-air-13-inch-2014-1261511402/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=215
nuqui.jerome,5 days ago,MacBook Pro 16 inch with touch bar,"S$1,000",Lightly used,https://carousell.sg/p/macbook-pro-16-inch-with-touch-bar-1264255565/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=216
totoma,5 days ago,MacBook Air,S$500,Well used,https://carousell.sg/p/macbook-air-1262853848/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=217
bantan1,5 days ago,Apple Rose Gold Macbook Air,S$820,Lightly used,https://carousell.sg/p/apple-rose-gold-macbook-air-1264481486/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=218
riniyangmm,5 days ago,New Macbook Air 15,"S$1,880",Brand new,https://carousell.sg/p/new-macbook-air-15-1262447243/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=219
